stock_code,product_role,evidence_description,evidence_rows_before_cutoff,decision_reason
22926,merchandise,IVORY GIANT GARDEN THERMOMETER,247,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22927,merchandise,GREEN GIANT GARDEN THERMOMETER,176,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22928,merchandise,YELLOW GIANT GARDEN THERMOMETER,113,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22929,merchandise,SCHOOL DESK AND CHAIR,17,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22930,merchandise,BAKING MOULD HEART MILK CHOCOLATE,191,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22931,merchandise,BAKING MOULD HEART WHITE CHOCOLATE,134,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22932,merchandise,BAKING MOULD TOFFEE CUP CHOCOLATE,71,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22933,merchandise,BAKING MOULD EASTER EGG MILK CHOC,122,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22934,merchandise,BAKING MOULD EASTER EGG WHITE CHOC,78,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22935,merchandise,BAKING MOULD ROSE MILK CHOCOLATE,65,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22936,merchandise,BAKING MOULD ROSE WHITE CHOCOLATE,51,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22937,merchandise,BAKING MOULD CHOCOLATE CUPCAKES,164,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22938,merchandise,CUPCAKE LACE PAPER SET 6,282,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22939,merchandise,APRON APPLE DELIGHT,142,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22940,merchandise,FELTCRAFT CHRISTMAS FAIRY,621,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22941,merchandise,CHRISTMAS LIGHTS 10 REINDEER,493,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22942,merchandise,CHRISTMAS LIGHTS 10 SANTAS,239,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22943,merchandise,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,378,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22944,merchandise,CHRISTMAS METAL POSTCARD WITH BELLS,159,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22945,merchandise,CHRISTMAS METAL TAGS ASSORTED,368,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22946,merchandise,WOODEN ADVENT CALENDAR CREAM,282,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22947,merchandise,WOODEN ADVENT CALENDAR RED,222,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22948,merchandise,METAL DECORATION NAUGHTY CHILDREN,192,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22949,merchandise,36 DOILIES DOLLY GIRL,168,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22950,merchandise,36 DOILIES VINTAGE CHRISTMAS,347,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22951,merchandise,60 CAKE CASES DOLLY GIRL DESIGN,633,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22952,merchandise,60 CAKE CASES VINTAGE CHRISTMAS,1096,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22953,merchandise,BIRTHDAY PARTY CORDON BARRIER TAPE,126,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22954,merchandise,HEN PARTY CORDON BARRIER TAPE,50,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22955,merchandise,36 FOIL STAR CAKE CASES,197,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22956,merchandise,36 FOIL HEART CAKE CASES,286,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22957,merchandise,SET 3 PAPER VINTAGE CHICK PAPER EGG,219,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22959,merchandise,WRAP CHRISTMAS VILLAGE,276,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22960,merchandise,JAM MAKING SET WITH JARS,1183,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22961,merchandise,JAM MAKING SET PRINTED,1249,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22962,merchandise,JAM JAR WITH PINK LID,373,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22963,merchandise,JAM JAR WITH GREEN LID,339,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22964,merchandise,3 PIECE SPACEBOY COOKIE CUTTER SET,414,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22965,merchandise,3 TRADITIONAl BISCUIT CUTTERS  SET,253,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22966,merchandise,GINGERBREAD MAN COOKIE CUTTER,749,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22967,merchandise,SET 3 SONG BIRD PAPER EGGS ASSORTED,138,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22968,merchandise,ROSE COTTAGE KEEPSAKE BOX,334,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22969,merchandise,HOMEMADE JAM SCENTED CANDLES,737,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22970,merchandise,LONDON BUS COFFEE MUG,310,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22971,merchandise,QUEENS GUARD COFFEE MUG,265,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22972,merchandise,CHILDREN'S SPACEBOY MUG,253,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22973,merchandise,CHILDREN'S CIRCUS PARADE MUG,159,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22974,merchandise,CHILDRENS DOLLY GIRL MUG,230,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22975,merchandise,SPACEBOY CHILDRENS EGG CUP,200,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22976,merchandise,CIRCUS PARADE CHILDRENS EGG CUP,160,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22977,merchandise,DOLLY GIRL CHILDRENS EGG CUP,149,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22978,merchandise,PANTRY ROLLING PIN,233,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22979,merchandise,PANTRY WASHING UP BRUSH,379,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22980,merchandise,PANTRY SCRUBBING BRUSH,289,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22981,merchandise,PANTRY APPLE CORER,104,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22982,merchandise,PANTRY PASTRY BRUSH,203,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22983,merchandise,CARD BILLBOARD FONT,456,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22984,merchandise,CARD GINGHAM ROSE,168,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22985,merchandise,"WRAP, BILLBOARD FONTS DESIGN",74,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22986,merchandise,GINGHAM ROSE WRAP,124,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22987,merchandise,"WRAP , SUMMER ROSE DESIGN",6,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22988,merchandise,SOLDIERS EGG CUP,470,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22989,merchandise,SET 2 PANTRY DESIGN TEA TOWELS,363,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22990,merchandise,COTTON APRON PANTRY DESIGN,155,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22991,merchandise,GIRAFFE WOODEN RULER,265,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22992,merchandise,REVOLVER WOODEN RULER,334,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22993,merchandise,SET OF 4 PANTRY JELLY MOULDS,1060,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22994,merchandise,TRAVEL CARD WALLET RETROSPOT,209,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22995,merchandise,TRAVEL CARD WALLET SUKI,255,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22996,merchandise,TRAVEL CARD WALLET VINTAGE TICKET,399,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22997,merchandise,TRAVEL CARD WALLET UNION JACK,211,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22998,merchandise,TRAVEL CARD WALLET KEEP CALM,523,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22999,merchandise,TRAVEL CARD WALLET RETRO PETALS,109,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23000,merchandise,TRAVEL CARD WALLET TRANSPORT,268,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23001,unresolved,,0,No descriptive positive-purchase evidence before cutoff
23002,merchandise,TRAVEL CARD WALLET SKULLS,183,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23003,merchandise,TRAVEL CARD WALLET VINTAGE ROSE,54,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23004,merchandise,TRAVEL CARD WALLET PANTRY,214,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23005,merchandise,TRAVEL CARD WALLET I LOVE LONDON,232,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23006,merchandise,TRAVEL CARD WALLET FLOWER MEADOW,170,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23007,merchandise,SPACEBOY BABY GIFT SET,172,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23008,merchandise,DOLLY GIRL BABY GIFT SET,130,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23009,merchandise,I LOVE LONDON BABY GIFT SET,96,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23010,merchandise,CIRCUS PARADE BABY GIFT SET,108,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23012,merchandise,GLASS APOTHECARY BOTTLE PERFUME,233,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23013,merchandise,GLASS APOTHECARY BOTTLE TONIC,205,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23014,merchandise,GLASS APOTHECARY BOTTLE ELIXIR,200,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23015,merchandise,CORDIAL GLASS JUG,18,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23016,merchandise,GLASS TWIST BON BON JAR,22,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23017,merchandise,APOTHECARY MEASURING JAR,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23018,merchandise,LARGE APOTHECARY MEASURING JAR,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23019,merchandise,SMALL APOTHECARY MEASURING JAR,26,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23020,merchandise,GLASS  SONGBIRD STORAGE JAR,69,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23021,merchandise,GLASS BONNE JAM JAR,27,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23022,merchandise,SMALL BONNE JAM JAR  T-LIGHT HOLDER,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23023,merchandise,RIDGED BONNE JAM JAR T-LIGHT HOLDER,26,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23024,merchandise,LARGE BONNE JAM JAR  T-LIGHT HOLDER,11,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23025,merchandise,DRAWER KNOB VINTAGE GLASS BALL,53,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23026,merchandise,DRAWER KNOB VINTAGE GLASS STAR,64,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23027,merchandise,DRAWER KNOB VINTAGE GLASS HEXAGON,28,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23028,merchandise,DRAWER KNOB CRACKLE GLAZE BLUE,136,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23029,merchandise,DRAWER KNOB CRACKLE GLAZE GREEN,147,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23031,merchandise,DRAWER KNOB CRACKLE GLAZE PINK,145,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23032,merchandise,DRAWER KNOB CRACKLE GLAZE IVORY,201,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23033,merchandise,DRAWER KNOB CERAMIC RED,74,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23034,merchandise,DRAWER KNOB CERAMIC BLACK,89,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23035,merchandise,DRAWER KNOB CERAMIC IVORY,182,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23036,merchandise,T-LIGHT HOLDER SILVER PETIT FOUR,16,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23037,merchandise,CANDLE HOLDER SILVER MADELINE,17,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23038,merchandise,T-LIGHT HOLDER SILVER SAUCER,7,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23039,merchandise,T-LIGHT HOLDER SILVER HEART HANDLE,27,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23040,merchandise,PAPER LANTERN 9 POINT SNOW STAR,35,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23041,merchandise,PAPER LANTERN 9 POINT SNOW STAR,43,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23042,merchandise,PAPER LANTERN 7 POINT SNOW STAR,26,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23043,merchandise,PAPER LANTERN 9 POINT HOLLY STAR L,18,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23044,merchandise,PAPER LANTERN 9 POINT HOLLY STAR S,22,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23045,merchandise,PAPER LANTERN 5 POINT STAR MOON,19,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23046,merchandise,PAPER LANTERN 9 POINT DELUXE STAR,34,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23047,merchandise,PAPER LANTERN 5 POINT SEQUIN STAR,22,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23048,merchandise,SET OF 10 LANTERNS FAIRY LIGHT STAR,100,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23049,merchandise,RECYCLED ACAPULCO MAT RED,185,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23050,merchandise,RECYCLED ACAPULCO MAT GREEN,198,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23051,merchandise,RECYCLED ACAPULCO MAT BLUE,159,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23052,merchandise,RECYCLED ACAPULCO MAT TURQUOISE,274,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23053,merchandise,RECYCLED ACAPULCO MAT PINK,160,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23054,merchandise,RECYCLED ACAPULCO MAT LAVENDER,128,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23055,merchandise,IVORY CHANDELIER T-LIGHT HOLDER,41,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23056,merchandise,FLOWERS CHANDELIER T-LIGHT HOLDER,42,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23057,merchandise,BEADED CHANDELIER T-LIGHT HOLDER,41,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23058,merchandise,CHRISTMAS HANGING SNOWFLAKE,41,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23059,unresolved,,0,No descriptive positive-purchase evidence before cutoff
23060,merchandise,HEART BEADED TRELLIS DECORATION,40,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23061,merchandise,VINTAGE EMBOSSED HEART,111,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23064,merchandise,CINDERELLA CHANDELIER,23,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23065,merchandise,LARGE DECO JEWELLERY STAND,96,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23066,merchandise,SMALL DECO JEWELLERY STAND,79,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23067,merchandise,HANGING ENGRAVED METAL HEART,81,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23068,merchandise,ALUMINIUM STAMPED HEART,130,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23069,merchandise,EDWARDIAN PHOTO FRAME,32,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23070,merchandise,EDWARDIAN HEART PHOTO FRAME,41,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23071,merchandise,MARIE ANTOINETTE TRINKET BOX GOLD,23,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23072,merchandise,MARIE ANTOINETTE TRINKET BOX SILVER,30,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23073,merchandise,GEORGIAN TRINKET BOX,60,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23074,merchandise,EMBOSSED HEART TRINKET BOX,41,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23075,merchandise,PARLOUR CERAMIC WALL HOOK,75,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23076,merchandise,ICE CREAM SUNDAE LIP GLOSS,266,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23077,merchandise,DOUGHNUT LIP GLOSS,321,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23078,merchandise,ICE CREAM PEN LIP GLOSS,252,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23079,merchandise,TOADSTOOL BEDSIDE LIGHT,102,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23080,merchandise,RED METAL BOX TOP SECRET,230,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23081,merchandise,GREEN METAL BOX ARMY SUPPLIES,128,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23082,merchandise,SET 6 PAPER TABLE LANTERN HEARTS,284,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23083,merchandise,SET 6 PAPER TABLE LANTERN STARS,220,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23084,merchandise,RABBIT NIGHT LIGHT,900,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23085,merchandise,ANTIQUE SILVER BAUBLE LAMP,79,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23086,merchandise,ZINC  STAR T-LIGHT HOLDER,44,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23087,merchandise,ZINC  HEART T-LIGHT HOLDER,64,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23088,merchandise,ZINC HEART FLOWER T-LIGHT HOLDER,70,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23089,merchandise,GLASS BON BON JAR,218,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23090,merchandise,VINTAGE GLASS T-LIGHT HOLDER,134,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23091,merchandise,ZINC HERB GARDEN CONTAINER,212,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23092,merchandise,LARGE ANTIQUE WHITE PHOTO FRAME,131,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23093,merchandise,SMALL PARISIENNE HEART PHOTO FRAME,139,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23094,merchandise,LE GRAND TRAY CHIC SET,79,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23096,merchandise,PETIT TRAY CHIC,140,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23099,merchandise,FRENCH CARRIAGE LANTERN,53,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23100,merchandise,SILVER BELLS TABLE DECORATION,248,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23101,merchandise,SILVER STARS TABLE DECORATION,211,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23102,merchandise,SILVER HEARTS TABLE DECORATION,160,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23103,merchandise,JINGLE BELL HEART DECORATION,348,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23104,merchandise,IVORY CAFE HANGING LAMP,39,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23106,merchandise,ZINC HEARTS PLANT POT HOLDER,48,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23107,merchandise,WHITE HEARTS WIRE PLANT POT HOLDER,65,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23108,merchandise,SET OF 10 LED DOLLY LIGHTS,353,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23109,merchandise,PACK OF SIX LED TEA LIGHTS,183,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23110,merchandise,PARISIENNE KEY CABINET,247,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23111,merchandise,PARISIENNE SEWING BOX,127,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23112,merchandise,PARISIENNE CURIO CABINET,228,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23113,merchandise,PANTRY CHOPPING BOARD,52,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23114,merchandise,VINTAGE LEAF CHOPPING BOARD,43,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23115,merchandise,RED APPLES CHOPPING BOARD,42,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23116,merchandise,VEGETABLE GARDEN CHOPPING BOARD,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23117,merchandise,POPPY FIELDS CHOPPING BOARD,41,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23118,merchandise,PARISIENNE JEWELLERY DRAWER,239,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23119,merchandise,PACK OF 6 LARGE FRUIT STRAWS,143,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23120,merchandise,PACK OF 6 SMALL FRUIT STRAWS,105,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23121,merchandise,PACK OF 6 COCKTAIL PARASOL STRAWS,115,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23122,merchandise,PARTY CHARMS 50 PIECES,131,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23123,merchandise,COCKTAIL SWORDS 50 PIECES,90,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23124,merchandise,18PC WOODEN CUTLERY SET DISPOSABLE,43,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23125,merchandise,6PC WOOD PLATE SET DISPOSABLE,38,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23126,merchandise,FELTCRAFT GIRL AMELIE KIT,265,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23127,merchandise,FELTCRAFT GIRL NICOLE KIT,170,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23128,merchandise,FELTCRAFT BOY JEAN-PAUL KIT,121,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23129,merchandise,HEART SHAPED HOLLY WREATH,167,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23130,merchandise,MISTLETOE HEART WREATH GREEN,175,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23131,merchandise,MISTLETOE HEART WREATH CREAM,111,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23132,merchandise,SMALL IVORY HEART WALL ORGANISER,149,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23133,merchandise,LARGE IVORY HEART WALL ORGANISER,150,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23134,merchandise,LARGE ZINC HEART WALL ORGANISER,38,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23135,merchandise,SMALL ZINC HEART WALL ORGANISER,43,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23136,merchandise,IVORY WIRE SWEETHEART LETTER TRAY,47,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23137,merchandise,ZINC WIRE SWEETHEART LETTER TRAY,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23138,merchandise,SINGLE WIRE HOOK IVORY HEART,86,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23139,merchandise,SINGLE WIRE HOOK PINK HEART,25,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23140,merchandise,TRIPLE WIRE HOOK IVORY HEART,52,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23141,merchandise,TRIPLE WIRE HOOK PINK HEART,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23142,merchandise,IVORY WIRE KITCHEN ORGANISER,40,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23143,merchandise,ZINC WIRE KITCHEN ORGANISER,10,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
23144,merchandise,ZINC T-LIGHT HOLDER STARS SMALL,263,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
